Date, value,log_difference
1/4/1999,1.6172,
1/5/1999,1.6144,-0.001732888
1/6/1999,1.6185,0.002536424
1/7/1999,1.6134,-0.003156041
1/8/1999,1.6134,0
1/11/1999,1.6098,-0.002233806
1/12/1999,1.6034,-0.003983573
1/13/1999,1.5916,-0.007386575
1/14/1999,1.5881,-0.002201466
1/15/1999,1.5979,0.006151934
1/19/1999,1.5969,-0.000626017
1/20/1999,1.6059,0.005620097
1/21/1999,1.6057,-0.000124549
1/22/1999,1.6017,-0.002494233
1/25/1999,1.6026,0.000561745
1/26/1999,1.606,0.002119305
1/27/1999,1.611,0.003108489
1/28/1999,1.6098,-0.000745157
1/29/1999,1.6066,-0.001989803
2/1/1999,1.6067,6.22E-05
2/2/1999,1.6029,-0.002367897
2/3/1999,1.6019,-0.000624064
2/4/1999,1.6028,0.000561675
2/5/1999,1.6029,6.24E-05
2/8/1999,1.6032,0.000187143
2/9/1999,1.6058,0.001620443
2/10/1999,1.5951,-0.006685645
2/11/1999,1.6024,0.004566075
2/12/1999,1.5964,-0.003751411
2/16/1999,1.5961,-0.00018794
2/17/1999,1.5975,0.000876754
2/18/1999,1.6,0.001563722
2/19/1999,1.6023,0.001436468
2/22/1999,1.5989,-0.002124204
2/23/1999,1.5933,-0.003508556
2/24/1999,1.5907,-0.001633166
2/25/1999,1.5887,-0.001258099
2/26/1999,1.5956,0.004333769
3/1/1999,1.592,-0.002258754
3/2/1999,1.5928,0.000502386
3/3/1999,1.5899,-0.001822353
3/4/1999,1.5884,-0.000943901
3/5/1999,1.5909,0.001572674
3/8/1999,1.5922,0.000816814
3/9/1999,1.5962,0.002509097
3/10/1999,1.5977,0.000939291
3/11/1999,1.6033,0.00349891
3/12/1999,1.5977,-0.00349891
3/15/1999,1.601,0.002063339
3/16/1999,1.5988,-0.001375086
3/17/1999,1.5957,-0.001940836
3/18/1999,1.5986,0.001815735
3/19/1999,1.5978,-0.000500563
3/22/1999,1.5966,-0.000751315
3/23/1999,1.5904,-0.003890811
3/24/1999,1.5941,0.002323757
3/25/1999,1.5954,0.000815175
3/26/1999,1.5928,-0.001631015
3/29/1999,1.5933,0.000313863
3/30/1999,1.5966,0.002069031
3/31/1999,1.5963,-0.000187917
4/1/1999,1.5955,-0.000501285
4/5/1999,1.5952,-0.000188047
4/6/1999,1.5964,0.000751974
4/7/1999,1.5961,-0.00018794
4/8/1999,1.5983,0.001377411
4/9/1999,1.6009,0.001625407
4/12/1999,1.6069,0.003740886
4/13/1999,1.6052,-0.001058498
4/14/1999,1.6024,-0.001745854
4/15/1999,1.6042,0.001122685
4/16/1999,1.6004,-0.002371592
4/19/1999,1.6038,0.002122215
4/20/1999,1.6014,-0.001497567
4/21/1999,1.6006,-0.000499688
4/22/1999,1.6084,0.004861337
4/23/1999,1.6026,-0.003612586
4/26/1999,1.6025,-6.24E-05
4/27/1999,1.6076,0.003177474
4/28/1999,1.6087,0.000684016
4/29/1999,1.6086,-6.22E-05
4/30/1999,1.6119,0.002049372
5/3/1999,1.6115,-0.000248185
5/4/1999,1.6057,-0.003605624
5/5/1999,1.6077,0.001244788
5/6/1999,1.6071,-0.000373274
5/7/1999,1.6084,0.000808583
5/10/1999,1.6071,-0.000808583
5/11/1999,1.6088,0.001057247
5/12/1999,1.6032,-0.003486928
5/13/1999,1.6019,-0.000811207
5/14/1999,1.6028,0.000561675
5/17/1999,1.6039,0.000686064
5/18/1999,1.6015,-0.001497473
5/19/1999,1.603,0.000936184
5/20/1999,1.6028,-0.000124774
5/21/1999,1.6039,0.000686064
5/24/1999,1.6022,-0.001060479
5/25/1999,1.5921,-0.006323785
5/26/1999,1.5895,-0.001634398
5/27/1999,1.5903,0.000503176
5/28/1999,1.5915,0.00075429
6/1/1999,1.5926,0.000690933
6/2/1999,1.5917,-0.000565273
6/3/1999,1.5903,-0.00087995
6/4/1999,1.5893,-0.00062901
6/7/1999,1.5872,-0.00132221
6/8/1999,1.5955,0.005215709
6/9/1999,1.5949,-0.000376128
6/10/1999,1.5952,0.000188082
6/11/1999,1.5945,-0.000438913
6/14/1999,1.5942,-0.000188164
6/15/1999,1.595,0.000501693
6/16/1999,1.594,-0.000627156
6/17/1999,1.595,0.000627156
6/18/1999,1.5976,0.001628767
6/21/1999,1.5961,-0.000939349
6/22/1999,1.5956,-0.000313313
6/23/1999,1.596,0.000250658
6/24/1999,1.6003,0.002690613
6/25/1999,1.5988,-0.000937764
6/28/1999,1.5999,0.000687779
6/29/1999,1.6009,0.000624844
6/30/1999,1.6027,0.001123736
7/1/1999,1.6057,0.001870092
7/2/1999,1.6071,0.000871514
7/6/1999,1.6031,-0.002492058
7/7/1999,1.6032,6.24E-05
7/8/1999,1.605,0.001122125
7/9/1999,1.6064,0.000871894
7/12/1999,1.6046,-0.001121146
7/13/1999,1.6039,-0.000436341
7/14/1999,1.6057,0.001121635
7/15/1999,1.6052,-0.000311439
7/16/1999,1.6064,0.000747291
7/19/1999,1.6038,-0.001619837
7/20/1999,1.6039,6.24E-05
7/21/1999,1.6061,0.001370717
7/22/1999,1.6057,-0.000249082
7/23/1999,1.6053,-0.000249144
7/26/1999,1.6048,-0.000311517
7/27/1999,1.6009,-0.002433167
7/28/1999,1.5972,-0.002313875
7/29/1999,1.5951,-0.001315666
7/30/1999,1.5944,-0.00043894
8/2/1999,1.5959,0.000940351
8/3/1999,1.5989,0.001878052
8/4/1999,1.6002,0.000812729
8/5/1999,1.6001,-6.25E-05
8/6/1999,1.6004,0.000187471
8/9/1999,1.6022,0.001124087
8/10/1999,1.6021,-6.24E-05
8/11/1999,1.6022,6.24E-05
8/12/1999,1.6009,-0.000811714
8/13/1999,1.6026,0.001061339
8/16/1999,1.6017,-0.000561745
8/17/1999,1.6013,-0.000249766
8/18/1999,1.599,-0.001437365
8/19/1999,1.598,-0.000625587
8/20/1999,1.5953,-0.001691041
8/23/1999,1.6008,0.003441698
8/24/1999,1.6003,-0.000312393
8/25/1999,1.6024,0.001311394
8/26/1999,1.6014,-0.000624259
8/27/1999,1.6016,0.000124883
8/30/1999,1.6011,-0.000312237
8/31/1999,1.6004,-0.000437295
9/1/1999,1.601,0.000374836
9/2/1999,1.5961,-0.00306528
9/3/1999,1.5991,0.001877817
9/7/1999,1.5986,-0.000312725
9/8/1999,1.599,0.000250188
9/9/1999,1.6005,0.000937647
9/10/1999,1.6077,0.004488506
9/13/1999,1.6052,-0.001556227
9/14/1999,1.6035,-0.001059619
9/15/1999,1.6038,0.000187073
9/16/1999,1.602,-0.001122965
9/17/1999,1.6026,0.000374462
9/20/1999,1.6042,0.00099788
9/21/1999,1.6029,-0.000810701
9/22/1999,1.6052,0.001433871
9/23/1999,1.6022,-0.001870675
9/24/1999,1.6015,-0.000436995
9/27/1999,1.6016,6.24E-05
9/28/1999,1.6012,-0.000249781
9/29/1999,1.5996,-0.00099975
9/30/1999,1.6002,0.000375023
10/1/1999,1.5903,-0.006205944
10/4/1999,1.5926,0.001445223
10/5/1999,1.5901,-0.001570994
10/6/1999,1.5912,0.000691541
10/7/1999,1.5929,0.001067806
10/8/1999,1.5971,0.00263323
10/11/1999,1.5954,-0.001064996
10/12/1999,1.592,-0.002133401
10/13/1999,1.5897,-0.001445768
10/14/1999,1.5902,0.000314475
10/15/1999,1.5872,-0.001888337
10/18/1999,1.5887,0.000944614
10/19/1999,1.5907,0.001258099
10/20/1999,1.593,0.00144486
10/21/1999,1.5933,0.000188306
10/22/1999,1.6,0.004196292
10/25/1999,1.5978,-0.001375946
10/26/1999,1.6004,0.001625915
10/27/1999,1.6001,-0.000187471
10/28/1999,1.6037,0.002247332
10/29/1999,1.6042,0.00031173
11/1/1999,1.6035,-0.00043645
11/2/1999,1.6075,0.002491437
11/3/1999,1.6086,0.000684058
11/4/1999,1.6147,0.003784945
11/5/1999,1.6144,-0.00018581
11/8/1999,1.6093,-0.003164069
11/9/1999,1.6072,-0.001305767
11/10/1999,1.6084,0.000746362
11/11/1999,1.6071,-0.000808583
11/12/1999,1.606,-0.000684697
11/15/1999,1.6065,0.000311284
11/16/1999,1.6014,-0.003179653
11/17/1999,1.6024,0.000624259
11/18/1999,1.602,-0.000249657
11/19/1999,1.6029,0.00056164
11/22/1999,1.6013,-0.000998689
11/23/1999,1.5995,-0.001124719
11/24/1999,1.6,0.000312549
11/26/1999,1.6062,0.003867512
11/29/1999,1.603,-0.001994267
11/30/1999,1.6016,-0.000873744
12/1/1999,1.6005,-0.000687049
12/2/1999,1.599,-0.000937647
12/3/1999,1.5948,-0.002630097
12/6/1999,1.5987,0.002442462
12/7/1999,1.6002,0.000937822
12/8/1999,1.6001,-6.25E-05
12/9/1999,1.5996,-0.000312529
12/10/1999,1.5996,0
12/13/1999,1.6008,0.000749906
12/14/1999,1.6013,0.000312295
12/15/1999,1.5996,-0.001062201
12/16/1999,1.6018,0.001374399
12/17/1999,1.602,0.000124852
12/20/1999,1.598,-0.002500001
12/21/1999,1.6004,0.001500751
12/22/1999,1.6001,-0.000187471
12/23/1999,1.6053,0.003244528
12/27/1999,1.6039,-0.000872492
12/28/1999,1.6054,0.000934783
12/29/1999,1.6042,-0.000747757
12/30/1999,1.6079,0.00230379
12/31/1999,1.5998,-0.005050358
1/3/2000,1.5998,0
1/4/2000,1.6045,0.00293356
1/5/2000,1.6039,-0.000374018
1/6/2000,1.6021,-0.001122895
1/7/2000,1.6093,0.004484033
1/10/2000,1.6089,-0.000248586
1/11/2000,1.6102,0.000807679
1/12/2000,1.6105,0.000186295
1/13/2000,1.6119,0.000868918
1/14/2000,1.6147,0.001735573
1/18/2000,1.6133,-0.00086741
1/19/2000,1.6147,0.00086741
1/20/2000,1.6117,-0.001859658
1/21/2000,1.6143,0.001611904
1/24/2000,1.6112,-0.001922183
1/25/2000,1.613,0.001116556
1/26/2000,1.6125,-0.000310029
1/27/2000,1.6131,0.000372024
1/28/2000,1.6091,-0.002482777
1/31/2000,1.6073,-0.001119264
2/1/2000,1.6082,0.000559789
2/2/2000,1.6124,0.002608211
2/3/2000,1.6077,-0.002919166
2/4/2000,1.6063,-0.000871189
2/7/2000,1.6059,-0.00024905
2/8/2000,1.6075,0.00099583
2/9/2000,1.6086,0.000684058
2/10/2000,1.6081,-0.000310878
2/11/2000,1.6049,-0.001991909
2/14/2000,1.6078,0.001805336
2/15/2000,1.6058,-0.00124471
2/16/2000,1.6043,-0.00093455
2/17/2000,1.6037,-0.000374065
2/18/2000,1.6046,0.000561045
2/22/2000,1.6076,0.001867879
2/23/2000,1.6115,0.002423039
2/24/2000,1.6085,-0.001863355
2/25/2000,1.6093,0.000497234
2/28/2000,1.605,-0.002675545
2/29/2000,1.6067,0.001058629
3/1/2000,1.6074,0.000435581
3/2/2000,1.6062,-0.000746826
3/3/2000,1.602,-0.002618292
3/6/2000,1.6077,0.003551738
3/7/2000,1.6053,-0.001493931
3/8/2000,1.6068,0.000933968
3/9/2000,1.6073,0.000311129
3/10/2000,1.6087,0.000870647
3/13/2000,1.6091,0.000248617
3/14/2000,1.612,0.001800628
3/15/2000,1.6115,-0.000310222
3/16/2000,1.6121,0.000372255
3/17/2000,1.6118,-0.00018611
3/20/2000,1.6123,0.000310164
3/21/2000,1.611,-0.000806627
3/22/2000,1.6081,-0.001801746
3/23/2000,1.5993,-0.005487324
3/24/2000,1.587,-0.007720592
3/27/2000,1.5886,0.001007684
3/28/2000,1.5895,0.000566376
3/29/2000,1.5939,0.002764342
3/30/2000,1.5929,-0.000627589
3/31/2000,1.5894,-0.002199668
4/3/2000,1.5791,-0.006501522
4/4/2000,1.5752,-0.002472816
4/5/2000,1.574,-0.000762098
4/6/2000,1.5712,-0.001780491
4/7/2000,1.5691,-0.001337452
4/10/2000,1.5732,0.002609555
4/11/2000,1.5744,0.000762486
4/12/2000,1.5749,0.000317531
4/13/2000,1.5699,-0.003179855
4/14/2000,1.5695,-0.000254826
4/17/2000,1.5704,0.000573267
4/18/2000,1.5753,0.003115366
4/19/2000,1.569,-0.004007257
4/20/2000,1.5744,0.003435774
4/24/2000,1.572,-0.001525553
4/25/2000,1.5707,-0.000827314
4/26/2000,1.5717,0.000636456
4/27/2000,1.5711,-0.000381825
4/28/2000,1.5647,-0.004081899
5/1/2000,1.5647,0
5/2/2000,1.5584,-0.004034458
5/3/2000,1.5418,-0.010709089
5/4/2000,1.5484,0.004271575
5/5/2000,1.553,0.002966404
5/8/2000,1.5479,-0.003289371
5/9/2000,1.5554,0.004833574
5/10/2000,1.558,0.0016702
5/11/2000,1.558,0
5/12/2000,1.554,-0.002570696
5/15/2000,1.5555,0.000964785
5/16/2000,1.5501,-0.003477592
5/17/2000,1.5522,0.001353834
5/18/2000,1.5549,0.001737955
5/19/2000,1.5519,-0.001931248
5/22/2000,1.5544,0.001609632
5/23/2000,1.5608,0.004108891
5/24/2000,1.5588,-0.001282216
5/25/2000,1.5624,0.002306806
5/26/2000,1.5641,0.001087478
5/30/2000,1.5706,0.004147133
5/31/2000,1.5759,0.003368826
6/1/2000,1.5715,-0.00279596
6/2/2000,1.5754,0.002478631
6/5/2000,1.5734,-0.001270325
6/6/2000,1.571,-0.001526524
6/7/2000,1.5676,-0.002166572
